"Group.1","Group.2","Group.3","Group.4","x"
"../scenariosimul/covtype.data",4,"lda","precision",0.614894368260213
"../scenariosimul/HIGGS.csv",4,"lda","precision",0.602821583687727
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",4,"lda","precision",0.527645659797198
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",4,"lda","precision",0.341463794727898
"../scenariosimul/spambase.data",4,"lda","precision",0.883362727988892
"../scenariosimul/cleankdd_train.csv",7,"lda","precision",0.923807149716813
"../scenariosimul/connect-4Train.csv",7,"lda","precision",0.515359027849874
"../scenariosimul/covtype.data",7,"lda","precision",0.614894368260213
"../scenariosimul/HIGGS.csv",7,"lda","precision",0.602821583687727
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",7,"lda","precision",0.527645659797198
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",7,"lda","precision",0.341463794727898
"../scenariosimul/spambase.data",7,"lda","precision",0.883362727988892
"../scenariosimul/cleankdd_train.csv",11,"lda","precision",0.923807149716813
"../scenariosimul/connect-4Train.csv",11,"lda","precision",0.515359027849874
"../scenariosimul/covtype.data",11,"lda","precision",0.614894368260213
"../scenariosimul/HIGGS.csv",11,"lda","precision",0.602821583687727
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",11,"lda","precision",0.527645659797198
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",11,"lda","precision",0.341463794727898
"../scenariosimul/spambase.data",11,"lda","precision",0.883362727988892
"../scenariosimul/cleankdd_train.csv",15,"lda","precision",0.923807149716813
"../scenariosimul/connect-4Train.csv",15,"lda","precision",0.515359027849874
"../scenariosimul/covtype.data",15,"lda","precision",0.614894368260213
"../scenariosimul/HIGGS.csv",15,"lda","precision",0.602821583687727
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",15,"lda","precision",0.527645659797198
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",15,"lda","precision",0.341463794727898
"../scenariosimul/spambase.data",15,"lda","precision",0.883362727988892
"../scenariosimul/cleankdd_train.csv",2,"multinom","precision",0.954247315909384
"../scenariosimul/connect-4Train.csv",2,"multinom","precision",0.528647569224767
"../scenariosimul/covtype.data",2,"multinom","precision",0.641185777408053
"../scenariosimul/HIGGS.csv",2,"multinom","precision",0.595911534357695
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",2,"multinom","precision",0.527627174079839
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",2,"multinom","precision",0.349735350000293
"../scenariosimul/spambase.data",2,"multinom","precision",0.853474160550441
"../scenariosimul/cleankdd_train.csv",4,"multinom","precision",0.954247315909384
"../scenariosimul/connect-4Train.csv",4,"multinom","precision",0.528647569224767
"../scenariosimul/covtype.data",4,"multinom","precision",0.641185777408053
"../scenariosimul/HIGGS.csv",4,"multinom","precision",0.595911534357695
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",4,"multinom","precision",0.527627174079839
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",4,"multinom","precision",0.349735350000293
"../scenariosimul/spambase.data",4,"multinom","precision",0.853474160550441
"../scenariosimul/cleankdd_train.csv",7,"multinom","precision",0.954247315909384
"../scenariosimul/connect-4Train.csv",7,"multinom","precision",0.528647569224767
"../scenariosimul/covtype.data",7,"multinom","precision",0.641185777408053
"../scenariosimul/HIGGS.csv",7,"multinom","precision",0.595911534357695
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",7,"multinom","precision",0.527627174079839
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",7,"multinom","precision",0.349735350000293
"../scenariosimul/spambase.data",7,"multinom","precision",0.853474160550441
"../scenariosimul/cleankdd_train.csv",11,"multinom","precision",0.954247315909384
"../scenariosimul/connect-4Train.csv",11,"multinom","precision",0.528647569224767
"../scenariosimul/covtype.data",11,"multinom","precision",0.641185777408053
"../scenariosimul/HIGGS.csv",11,"multinom","precision",0.595911534357695
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",11,"multinom","precision",0.527627174079839
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",11,"multinom","precision",0.349735350000293
"../scenariosimul/spambase.data",11,"multinom","precision",0.853474160550441
"../scenariosimul/cleankdd_train.csv",15,"multinom","precision",0.954247315909384
